Alaska        7321353280F519799
Arizona       1303973422F984199
Arizona       4271757437M146299
California    0385803210M928099
California    3056100029F630799
California    3056101029M631199
California    3056102029F110799
California    3056103029M440799
California    3056104029M334499
Colorado      1395142448F986099
Connecticut   7038930174F862299
Florida       1143124089M315399
Florida       8704402115M811599
Florida       9260163617M931399
Georgia       1500712336M696699
Georgia       3792089464F050699
Georgia       5766771598F451499
Georgia       9739057233F190499
Hawaii        5122509654F914199
Idaho         5690300714F267499
Iowa          4976623982F707599
Kansas        1007270219F399199
Kansas        8907476643F445599
Kentucky      6344380111F969299
Maine         7462788929M056799
Maryland      4035836938F198799
Michigan      1361937766F129099
Michigan      4444187931M054899
Nebraska      6180172654M144399
New Mexico    0802312967F332699
New York      5895348889M599099
New York      9494195854M273199
North Carolina6795710561F256099
North Dakota  1285532381F754399
North Dakota  7154949753M425099
Oklahoma      2194714025M367299
Oklahoma      9349137559F115299
South Dakota  9185991982M800199
Tennessee     0035543785M706499
Tennessee     2344016644M324099
Texas         4926068191F547899
Texas         5360803027F632799
Texas         9750681027F426199
Vermont       4643913921F901399
Vermont       9616319321F368499
Virginia      9970559337M573499
Washington    0493542915M428799
Washington    6012044248F857199
West Virginia 0602440157M974899
West Virginia 9509670002F494999
Wisconsin     4217794186F951999
Wisconsin     4565633836M231599
Wyoming       7401581060F557099
