ciao                Italy               ciao                                    
come                Germany             come                                    
va                  France              va                                      
oggi                UK                  oggi                                    
tutto               Ireland             tutto                                   
bene                Italy               bene                                    
grazie              Germany             grazie                                  
mille               France              mille                                   
buona               UK                  buona                                   
sera                Italy               sera                                    
tante               Germany             tante                                   
cose                France              cose                                    
