
UNIVERSAL TELECOMS MONTHLY REPORT
SUBSCRIBERID     CALLS    TEXTS
0000000000          1         2
0000000001          0         3
0000000002          2         1
0000000003          2         1
0000000004          2         1
0000000005          1         2
0000000006          0         3
0000000007          1         2
0000000008          2         1
0000000009          2         1
0000000010          1         2
0000000011          2         1
0000000012          1         2
0000000013          2         1
0000000014          1         2
0000000015          0         3
0000000016          1         2
0000000017          3         0
0000000018          1         2
0000000019          1         2
0000000020          0         3
0000000021          2         1
0000000022          1         2
0000000023          1         2
0000000024          1         2
0000000025          2         1
0000000026          0         3
0000000027          3         0
0000000028          2         1
0000000029          1         2
0000000030          1         2
0000000031          1         2
0000000032          0         3
0000000033          2         1
0000000034          1         2
0000000035          3         0
0000000036          1         2
0000000037          2         1
0000000038          2         1
0000000039          2         1
0000000040          3         0
0000000041          1         2
0000000042          1         2
0000000043          2         1
0000000044          1         2
0000000045          2         1
0000000046          2         1
0000000047          1         2
0000000048          1         2
0000000049          1         2
0000000050          1         2
0000000051          1         2
0000000052          1         2
0000000053          0         3
0000000054          2         1
0000000055          2         1
0000000056          2         1
0000000057          2         1
0000000058          2         1
0000000059          3         0
0000000060          0         3
0000000061          0         3
0000000062          3         0
0000000063          1         2
0000000064          1         2
0000000065          2         1
0000000066          2         1
0000000067          2         1
0000000068          1         2
0000000069          2         1
0000000070          1         2
0000000071          1         2
0000000072          1         2
0000000073          2         1
0000000074          1         2
0000000075          1         2
0000000076          2         1
0000000077          1         2
0000000078          2         1
0000000079          1         2
0000000080          1         2
0000000081          1         2
0000000082          1         2
0000000083          1         2
0000000084          1         2
0000000085          3         0
0000000086          2         1
0000000087          2         1
0000000088          0         3
0000000089          3         0
0000000090          2         1
0000000091          2         1
0000000092          1         2
0000000093          3         0
0000000094          2         1
0000000095          0         3
0000000096          1         2
0000000097          0         3
0000000098          2         1
0000000099          2         1
0000000100          2         1
0000000101          3         0
0000000102          3         0
0000000103          2         1
0000000104          1         2
0000000105          1         2
0000000106          2         1
0000000107          2         1
0000000108          2         1
0000000109          1         2
0000000110          2         1
0000000111          3         0
0000000112          2         1
0000000113          3         0
0000000114          0         3
0000000115          1         2
0000000116          1         2
0000000117          1         2
0000000118          1         2
0000000119          2         1
0000000120          2         1
0000000121          2         1
0000000122          1         2
0000000123          2         1
0000000124          2         1
0000000125          1         2
0000000126          0         3
0000000127          3         0
0000000128          2         1
0000000129          2         1
0000000130          3         0
0000000131          1         2
0000000132          1         2
0000000133          3         0
0000000134          2         1
0000000135          2         1
0000000136          1         2
0000000137          2         1
0000000138          3         0
0000000139          2         1
0000000140          3         0
0000000141          2         1
0000000142          1         2
0000000143          1         2
0000000144          1         2
0000000145          2         1
0000000146          1         2
0000000147          2         1
0000000148          2         1
0000000149          1         2
0000000150          1         2
0000000151          3         0
0000000152          1         2
0000000153          1         2
0000000154          1         2
0000000155          1         2
0000000156          2         1
0000000157          0         3
0000000158          2         1
0000000159          1         2
0000000160          2         1
0000000161          0         3
0000000162          1         2
0000000163          1         2
0000000164          1         2
0000000165          1         2
0000000166          2         1
0000000167          2         1
0000000168          3         0
0000000169          2         1
0000000170          3         0
0000000171          1         2
0000000172          2         1
0000000173          1         2
0000000174          1         2
0000000175          0         3
0000000176          1         2
0000000177          3         0
0000000178          0         3
0000000179          2         1
0000000180          2         1
0000000181          1         2
0000000182          2         1
0000000183          2         1
0000000184          0         3
0000000185          0         3
0000000186          2         1
0000000187          2         1
0000000188          2         1
0000000189          1         2
0000000190          1         2
0000000191          2         1
0000000192          1         2
0000000193          0         3
0000000194          2         1
0000000195          1         2
0000000196          1         2
0000000197          0         3
0000000198          0         3
0000000199          2         1
